experience,education,skills
"SQL ETL Developer, SQL Developer",BE /  B.Tech  ( Engineering )  ,"
mysql, mysql dba, sql, ssms, tsql, sql server 2012, teradata, snowflake, iics, informatica, unix, ultraedit, putty, winscp, c, oracle, c++
"
Sql Developer,B.Sc.  ( Science )  ,"
MS SQL Server, MySQL, Microsoft SQL
"
"Sql Server Database Administrator, Jr.SQL Server Database Administrator",BE /  B.Tech  ( Engineering )  ,"
sql server database administrator, database space management, installation and configuration, Incident Management, Service Desk Management, mssql server database administrator
"
"SQL Database Administrator , SQL DBA",B.Sc.  ( Science )  ,"
Ms SQL DBA, MS SQL Server, Sql Dba
"
Ms SQL server database administrator,BE /  B.Tech  ( Engineering )  ,"
alwayson, logshipping, Mirroring, Replication, Database Mirroring, T-sql, Microsoft Sql Server, Databases, Ms Sql Server
"
Sr. SQL Database Administrator,"MCA /  PGDCA
                  	
	                  	
	                       		2011
	                    
                    	","
MS SQL Server, Database Administrator, Performance Tuning, High Availability, Disaster Recovery Planning
"
"Sr SQL DBA, Sr SQL DBA Cusultants","BA  ( Arts )  , MCA /  PGDCA
                  	
	                  	
	                       		2009
	                    
                    	","Planning/Organizing, Management Proficiency, Technical Proficiency,
sql dba -, azure sql dba
"
"Senior Technical Support Executive cum SQL support executive, Senior technical support executive","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2021
	                    
                    	","Planning/Organizing, Accomplishments, Communication Proficiency,
Excel, Excel Vlookup, Microsoft office, Monitoring, MS Excel, Ms Sql, MySQL, Pivot Chart, Pivot Table, Problem Analysis, Problem Solving, Root Cause Analysis, troubleshooting
"
"Senior SQL DBA, Senior SQL DBA","B.com.  ( Commerce )  , MCA /  PGDCA
                  	
	                  	
	                       		2009
	                    
                    	","Planning/Organizing, Management Proficiency, Teamwork,
sql, MS SQL Server, Database Administrator, Database, database migration, Restore, Backup, Log Shipping, Mirroring, Replication, Clustering, Disaster Recovery, Disaster Recovery Planning, Microsoft SQL
"
sql dba admin,B.Sc.  ( Science )  ,"Technical Proficiency, Teamwork, Communication Proficiency,
sql server 2008r2, Sql Server 2012, Sql Server 2014, high avaliability, SSIS, sql admin, database administrator
"
"Consultant - Azure SQL DBA, Senior Consultant - SQL Server DBA",Diploma-Engineering ,"Interpersonal Abilities, Accomplishments, Technical Proficiency,
Rdbms, DBA, azure sql dba, Sql Server Dba, t-sql
"
"PL / SQL developer - Technology lead, System specialist","Other Post Graduation
                  	
	                  	
	                       		2012
	                    
                    	","Planning/Organizing, Accomplishments, Communication Proficiency,
oracle, sql, pl / sql, ASP.net, Java, Unix
"
"Senior Manager - MySQL, Senior Associate",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Technical Proficiency, Teamwork,
MySQL, Replication, Disaster Recovery, Performance Tuning, Query Optimization, backup, Restore
"
"SQL Server DBA, Sql server dba","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2007
	                    
                    	","
backups, restores, Replication, Database Mirroring, logshipping, alwayson, Powershell, tsql
"
Sql server DBA,BCA  ( Computer Application )  ,"
Sql Dba, Pl / sql Developer
"
"SQL Developer, Database Admin","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2008
	                    
                    	","Management Proficiency, Planning/Organizing, Analytical Proficiency,
, Sql
"
"Sql Developer, Computer Faculty","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		1999
	                    
                    	","Communication Proficiency, Teamwork, Interpersonal Abilities,
SSRS, Sql
"
Sql server dba,BE /  B.Tech  ( Engineering )  ,"
MS SQL Server, sql server, , Backup & Recovery, Restore, alwayso, logshippin
"
"Technology Specialist -SQL , SQL Developer",B.com.  ( Commerce )  ,"Technical Proficiency, Planning/Organizing, Management Proficiency,
MS SQL Server, , ssrs, Search Engine Optimization, SQL 2012, Azure, SSIS
"
DBA MS SQL,"MCA /  PGDCA
                  	
	                  	
	                       		2014
	                    
                    	","
Monitoring, Database Migration, Upgradation, Log Shipping, Database Mirroring, installation, Patching, Replication
"
