experience,education,skills
"Senior SQL Server DBA, Senior IT Executive","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2007
	                    
                    	","Planning/Organizing, Management Proficiency, Creative Proficiency,
SQL Server, Microsoft Azure, Ms Sharepoint, Cloud, Service Now, JIRA, Production Support, Application Support, MySQL, PostgreSQL, oracle
"
MS SQL DBA,BCA  ( Computer Application )  ,"
MS SQL Server, Sql Server, SSIS, SSRS, Performance Tuning, Dba, sql dba
"
"SQL server DBA, DBA","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2013
	                    
                    	","Management Proficiency, Planning/Organizing, Creative Proficiency,
MS SQL Server, Sql Azure, Synapse, DBA
"
"SQL Database Administrator, Project Lead ( GIS )",BE /  B.Tech  ( Engineering )  ,"
ms sql dba
"
"Senior MS SQL Server Database Administrator , Senior MS SQL Server Database Administrator",12th  &  Not Pursuing Graduation ,"Planning/Organizing, Management Proficiency, Teamwork,
SQL Server 2000, sql server 2005, sql server 2008, sql server 2012, database administration, sqldba, sql server 2016, sql server 2017, Replication, Performance Tuning
"
"MS SQL DBA, SQL database administrator",BE /  B.Tech  ( Engineering )  ,"Communication Proficiency, Analytical Proficiency, Planning/Organizing,
ms-sql dba, Database Mirroring, alwayson, masking, Sql Development
"
"Oracle / SQL Database Developer, Project Engineer","BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2013
	                    
                    	","Planning/Organizing, Management Proficiency, Communication Proficiency,
Ms SQL Server 2000, C, Java, oracle 11g, TOAD, Eclipse
"
"SQL Developer, Senior Software Engineer",B.com.  ( Commerce )  ,"Creative Proficiency, Planning/Organizing, Technical Proficiency,
MS SQL Server, database, table, stored procedures, functions, triggers, views, index, constraints, query optimization, complex queries, sql jobs, ssrs report, ssis., vb.net, Etl Developer, Sql Developer, data engineer
"
UNIX & SQL Application / Production Support,B.Sc.  ( Science )  ,"Planning/Organizing, Creative Proficiency, Technical Proficiency,
unix sql pl / sql
"
"Sql server support and application support, Software developers",BCA  ( Computer Application )  ,"Accomplishments, Planning/Organizing,
c, .net, oracle, Html, Css, Jquery, Javascript, ASP.net, ado.net, c#.net, Sql Server
"
MS SQL Server database administrator,"MCA /  PGDCA
                  	
	                  	
	                       		2019
	                    
                    	","
MS SQL SERVER DATABASE ADMINISTRATOR
"
"SQL engineer and release developer, SQL Technical Support Executive.",BA  ( Arts )  ,"Interpersonal Abilities, Technical Proficiency, Research Proficiency,
Advanced SQL, Crystal Report, EXCEL, HTML, Manual Testing, MS SQL Server, ORACLE, SQL Server, SQL Server 2000, Sql Server 2008 R2, SQL Server 7, Sql Server Dba, Sql Server Developer, Sql / plsql
"
sql and plsql developer,B.Ed.  ( Education )  ,"
analytical function, bulk collect, Collections, Exception Handling, external table, function, Index, joins, package, Performance Tuning, sequence, Sql Loader, Stored Procedures, subquery, synonyms, Tables, Trigger, utl, views
"
"SQL Developer , SQL Developer",BA  ( Arts )  ,"
, T-SQL, T-SQL SQL Server, T-SQL SQL Server SQL
"
PL / SQL Developer,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Interpersonal Abilities, Training/Mentoring,
PL / SQL HTML, C, Oracle, Core Java, Oracle PL SQL Developer, Css Developer, Advanced SQL, PL / SQL and Oracle, PL / SQL Oracle, sql, Oracle and Developer, Oracle DBA
"
SQL and plsql developer,BE /  B.Tech  ( Engineering )  ,"Technical Proficiency, Communication Proficiency, Planning/Organizing,
Sql Loader, joins, subquery, analytical function, sequence, synonyms, Tables, views, Index, Performance Tuning, etl external table, Utl File, Stored Procedures, function, package, Trigger, Exception Handling, bulk collect, Collections
"
"MS SQL Server DBA, Infra DBA","BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2011
	                    
                    	","Planning/Organizing, Management Proficiency, Interpersonal Abilities,
ms sql server dba, Database Administrator, sql, Advanced SQL, MS SQL, Aws, Amazon Ec2, Amazon S3, Postgres, MySQL
"
"SQL Developer, Sql Developer",B.Sc.  ( Science )  ,"Research Proficiency, Training/Mentoring, Creative Proficiency,
Microsoft SQL
"
Manual Tester with sql,BE /  B.Tech  ( Engineering )  ,"Training/Mentoring, Research Proficiency, Planning/Organizing,
Manual Testing, sql, testing, tester, web applications, regression testing, functional testing, testcase
"
"Senior Sql database administrator, Senior Sql database administrator",BE /  B.Tech  ( Engineering )  ,"
Sql server installation, backup and recovery, security and performance tuning, high availability activities like log shipping and mirroring and migration upgrade and clustering and always on, Replication
"
"MS SQL DBA , MS SQL DBA","BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2017
	                    
                    	","Communication Proficiency, Accomplishments, Analytical Proficiency,
backups, sequrity, logshipping, Mirroring, alwayson, Performance Tuning, Replication, dr planning, db splitting, data archival, sql installations, patch updates, Disk Management
"
"Database administrator Oracle MySql MSSql, Oracle database administrator",Diploma-Other Diploma ,"Technical Proficiency, Management Proficiency, Creative Proficiency,
Oracle Rac, Oracle Dataguard, 19c, MySQL, Oracle 10g, Oracle 11c, Oracle 12c, Performance Tuning, MS SQL Server, Data pump, Export Import, Crash recovery, Backup recovery, Oracle database patching, Oracle database upgrade
"
Senior Sql BI Developer,"MCA /  PGDCA
                  	
	                  	
                    	","Planning/Organizing, Management Proficiency, Creative Proficiency,
ssis, ssas, ssrs, sql dba
"
SQL database administrator,"M.Sc.  ( Science ) 
                  	
	                  	
	                       		2009
	                    
                    	","
Microsoft SQL, Tsql, Db mirroring, Always ON, Clustering, log shippiing, Replication, Db performance, SQL upgrade, SQL patching
"
Sql and plsql developer,BE /  B.Tech  ( Engineering )  ,"
SQL and PLSQL DEVELOPER
"
"SQL DBA and ERP Project Manager, Tech Lead - Database","B.com.  ( Commerce )  , MCA /  PGDCA
                  	
	                  	
	                       		2002
	                    
                    	","Management Proficiency, Planning/Organizing, Technical Proficiency,
SQL DBA ( SQL2000, SQL2005, SQL2008 ), VB.net, VB6, Foxpro MySQL, Crystal report, SSIS & SSRS
"
MS SQL Developer,B.Sc.  ( Science )  ,"Planning/Organizing, Technical Proficiency, Management Proficiency,
MS SQL Server
"
"PL / SQL Developer , Oracle DBA , Mysql Developer / DBA, Senior Database Developer / DBA","BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2011
	                    
                    	","Planning/Organizing, Management Proficiency, Creative Proficiency,
Mysql Dba, Mysql developer, Oracle Database Administrator, Oracle PL SQL Developer
"
Senior Application development Analyst as SQL DBA,BE /  B.Tech  ( Engineering )  ,"Technical Proficiency, Interpersonal Abilities, Accomplishments,
Sql, Microsoft SQL, MS SQL Server, Sql Azure, Log Shipping, Replication
"
"Sql server DBA, Ststem admin",BCA  ( Computer Application )  ,"Planning/Organizing, Technical Proficiency, Management Proficiency,
sql server administrator, databaase backup restore, windows administrator, microsoft azure, sql azure, replication, mirroring
"
Power BI Developer and SQL,BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Communication Proficiency, Technical Proficiency,
Power Bi, microsoft power bi, business analyst, analyst, SAS, Base Sas, sas va, Graph, Macros, SQL, MS SQL Server
"
"Sr SQL DBA, Sr specialist",B.Sc.  ( Science )  ,"Planning/Organizing, Management Proficiency, Technical Proficiency,
2005, 2008, r2, sql server 2000, sql server 2012, sql server 2016, sql server 2017, sql server 2019, 2007, ms sql server, sql server
"
Ms SQL DBA,BE /  B.Tech  ( Engineering )  ,"
installations, security, Backups & amp; Restore, troubleshooting, Disc space issues, High availability Log shipping, mirroring, replication, Always on, clustering, Server Upgradation & amp; Migration, SQL commands & #40; DDL, DML, DCL, TCL & #41;, Blocking, Deadlock
"
"Lead , Problem Manager, Problem Manager",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Technical Proficiency, Teamwork,
ITIL-Incident and Problem Magmt, Change Management, itil service management, Itsm
"
Service Incident and Problem Manager,B.com.  ( Commerce )  ,"Planning/Organizing, Management Proficiency, Teamwork,
project management / service delivery / incident, change & problem management with, problem management, it service management, incident management, service management, itil, itsm, change management, clients, availability management, release management, configuration management, it operations, pmp, remedy, bmc remedy
"
"Global Problem Manager , AM",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Interpersonal Abilities, Management Proficiency,
Telecom, switch, Ip, Transmission, Sdh, Dwdm, Problem Management, Incident Management, Team Management, Change Management
"
"Problem Manager, Service Delivery Lead","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2011
	                    
                    	","Planning/Organizing, Technical Proficiency, Communication Proficiency,
Problem Management, service delivery lead, it operations lead, itil 4, safe 5 sp, siam, Order Management, ericsson charging system, bmc helix itsm
"
Problem Manager Team Lead,BE /  B.Tech  ( Engineering )  ,"
Problem Management, Root Cause Analysis, Corrective Action & Preventive Action
"
"Lead Problem Manager, Problem Manager",Diploma-Engineering ,"Interpersonal Abilities, Research Proficiency, Planning/Organizing,
Bgp, carrier ethernet, CCNA, Dwdm, Mpls, Ospf, Otn, Problem Management
"
"problem Manager, Senior Engineer ( CORE )",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Technical Proficiency, Planning/Organizing,
Specialization in Core Networks Elements ( AXE, MSC / MSS, MGW, HLR, Switch Performance Management, ASR, CSSR, NPR, Utilization, IMS, Hss, Kpis, lusr, Gmsc, Vlr, Problem Management, Itil Certified, Change Management, Incident Management, Vendor Management, Capacity Management
"
"MIM / Problem Manager, Incident Manager",B.com.  ( Commerce )  ,"Teamwork, Planning/Organizing, Management Proficiency,
incident and problem management / solving techniques 5 why s itil frame work, ITSM, Incident Management, Incident Manager, Problem Manager, ITIL
"
Problem Manager,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Interpersonal Abilities,
troubleshooting, symantec, Problem Management, Problem Handling, Incident, Change, Release, system administrator, Problem-solving Skills, Lean Concepts, Fishbone Diagram, 5why, Kpi Reports, Sla, It Operations, Service Delivery, People Management, Customer Management, Oem
"
"Manager, Technical Lead",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Analytical Proficiency,
ITIL, Service Manager, Customer Service Management, Problem Management, Incident Management, Bmc Remedy, Excel, Service now
"
"Problem Manager, Incident manager",BE /  B.Tech  ( Engineering )  ,"Interpersonal Abilities, Teamwork, Training/Mentoring,
ms word, adaptability, communication skills, , Incident Management, Incident Manager, Problem Analysis, Problem Management, ITIL, Itil Incident Management, Itil, Itsm, It Service Management, Service Management, Computer Skills, Good Communication Skills, Leadership, Service Level Management, Ms Excel, Excel, Powerpoint, It Operations, Itil V3
"
Problem Analyst,B.Sc.  ( Science )  ,"
incident and problem management
"
"Problem Manager, Associate",B.com.  ( Commerce )  ,"Interpersonal Abilities, Management Proficiency, Planning/Organizing,
A good team player with strong communication skills.
"
"Specialist - Incident & Problem Manager, Incident Problem analyst","MBA /  PGDM
                  	
	                  	
                    	","Management Proficiency, Planning/Organizing, Teamwork,
incident & problem manager, Itil, service operaions, reporting & analytics, lean six sigma certified, Change Management, It Service Management
"
"Incident and problem manager, Engineer",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Teamwork,
Incident Management, Problem Management, Change Management, Service Management, Itil, Customer Relationship Management, Service Delivery, Sla Management, Patch Management, Disaster Recovery Planning
"
Incident Management and Problem Management Lead,"BBA /  BBM /  BBS , MBA /  PGDM
                  	
	                  	
	                       		2009
	                    
                    	","Interpersonal Abilities, Communication Proficiency,
Incident Management, Incident Investigation, Incident Manager, Itil Incident Management, Problem Management, Process Lead, project lead, project manager
"
